Year,TASK,Preprocessing_Techniques,Literature
2023,topic recommendation,not specified,2
2023,topic recommendation,remove repositories with no README/descriptions/topics,3
2023,topic recommendation,Convert plural forms to singular,3
2023,topic recommendation,abbreviation expansion,3
2023,topic recommendation,topics mapping,3
2023,topic recommendation,remove nonalphanumeric characters,3
2023,topic recommendation,abbreviation expansion,3
2023,topic recommendation,exclude repositories in which more than half of their documents contain non-English characters,3
2023,topic recommendation,tokenization,41
2023,topic recommendation,Remove stop words,41
2023,repositories classification,not specified,18
2023,repositories classification,not specified,40
2023,repositories classification,not specified,45
2022,repositories classification,Remove HTML and Markdown format and tags,4
2022,repositories classification,Remove white space,4
2022,topic recommendation,remove dash,5
2022,topic recommendation,Stemming,5
2022,topic recommendation,Remove versionings,5
2022,topic recommendation,Remove digits at the end of a topic,5
2022,topic recommendation,abbreviation expansion,5
2022,topic recommendation,alias substitution,5
2022,topic recommendation,Split into tokens,5
2022,topic recommendation,Remove stop words,5
2022,topic recommendation,Stemming,5
2022,topic recommendation,Lemmatize,5
2022,topic recommendation,Remove infrequent topics ,5
2022,topic recommendation,Remove stop words,17
2022,topic recommendation,Stemming,17
2022,repositories clustering,Convert words to lower case(把驼峰大小写和大写单词转换成小写）,20
2022,repositories clustering,Remove stop words,20
2022,repositories clustering,remove nonalphanumeric characters,20
2022,repositories clustering,store each processed file in the form of text file,20
2022,mannual repositories classification,not specified,33
2022,topic recommendation,topics mapping,34
2022,topic recommendation,Split into tokens,34
2022,topic recommendation,Convert words to lower case,34
2022,topic recommendation,Remove common Java terms,34
2022,topic recommendation,Lemmatize,34
2022,topic recommendation,concatenate different text ,39
,topic recommendation,Split into tokens,39
,topic recommendation,Separate sections using distinct tokens,39
2021,topic recommendation,Remove versionings,6
2021,topic recommendation,Remove digits at the end of a topic,6
2021,topic recommendation,Extract the most frequent topics from user-defined topics,6
2021,topic recommendation,Convert plural forms to singular,6
2021,topic recommendation,abbreviation expansion,6
